address1,address2,link,price
1-4530 Rue St-Dominique ,"
                                                ",https://www.royallepage.ca/en/property/quebec/montreal-le-plateau-mont-royal/1-4530-rue-st-dominique/19577140/mls20692138/,"
    
        
            
                "
559 Rue Paul-Pau ,"
                                                ",https://www.royallepage.ca/en/property/quebec/montreal-mercierhochelaga-maisonneuve/559-rue-paul-pau/19583002/mls23494630/,"
    
        
            
                "
6836 Rue Marie-Guyart ,"
                                                ",https://www.royallepage.ca/en/property/quebec/montreal-lasalle/6836-rue-marie-guyart/19582012/mls22463563/,"
    
        
            
                "
5-9267 Boul. Lasalle ,"
                                                ",https://www.royallepage.ca/en/property/quebec/montreal-lasalle/5-9267-boul-lasalle/19583001/mls20090962/,"
    
        
            
                "
5145 Av. Du Parc ,"
                                                ",https://www.royallepage.ca/en/property/quebec/montreal-le-plateau-mont-royal/5145-av-du-parc/19576617/mls12491056/,"
    
        
            
                "
102-7077 Av. Du Parc ,"
                                                ",https://www.royallepage.ca/en/property/quebec/montreal-villeraysaint-michelparc-extension/102-7077-av-du-parc/19576611/mls27609395/,"
    
        
            
                "
1890 Rue St-Zotique E. ,"
                                                ",https://www.royallepage.ca/en/property/quebec/montreal-rosemontla-petite-patrie/1890-rue-st-zotique-e/19576614/mls17603467/,"
    
        
            
                "
7401 Av. Papineau ,"
                                                ",https://www.royallepage.ca/en/property/quebec/montreal-villeraysaint-michelparc-extension/7401-av-papineau/19576613/mls28640001/,"
    
        
            
                "
2362 Rue Beaubien E. ,"
                                                ",https://www.royallepage.ca/en/property/quebec/montreal-rosemontla-petite-patrie/2362-rue-beaubien-e/19576616/mls12102589/,"
    
        
            
                "
1599z  - 1603z Rue St-Denis ,"
                                                ",https://www.royallepage.ca/en/property/quebec/montreal-ville-marie/1599z-1603z-rue-st-denis/19567027/mls9133574/,"
    
        
            
                "
3730 Ch. De La Côte-Des-Neiges ,"
                                                ",https://www.royallepage.ca/en/property/quebec/montreal-ville-marie/3730-ch-de-la-cote-des-neiges/19568728/mls17891721/,"
    
        
            
                "
65-1227 Rue Sherbrooke O. ,"
                                                ",https://www.royallepage.ca/en/property/quebec/montreal-ville-marie/65-1227-rue-sherbrooke-o/19571440/mls10603265/,"
    
        
            
                "
3039 Rue De Rushbrooke ,"
                                                ",https://www.royallepage.ca/en/property/quebec/montreal-verdunile-des-soeurs/3039-rue-de-rushbrooke/19568729/mls24757779/,"
    
        
            
                "
2191  - 2195 Rue De Chambly ,"
                                                ",https://www.royallepage.ca/en/property/quebec/montreal-mercierhochelaga-maisonneuve/2191-2195-rue-de-chambly/19570247/mls11107797/,"
    
        
            
                "
5285 Boul. Langelier ,"
                                                ",https://www.royallepage.ca/en/property/quebec/montreal-mercierhochelaga-maisonneuve/5285-boul-langelier/19570245/mls18564697/,"
    
        
            
                "
6635 Rue Mazarin ,"
                                                ",https://www.royallepage.ca/en/property/quebec/montreal-le-sud-ouest/6635-rue-mazarin/19570502/mls9754961/,"
    
        
            
                "
2425 Rue Noël ,"
                                                ",https://www.royallepage.ca/en/property/quebec/montreal-saint-laurent/2425-rue-noel/19570239/mls26915818/,"
    
        
            
                "
712-1182 Rue Crescent ,"
                                                ",https://www.royallepage.ca/en/property/quebec/montreal-ville-marie/712-1182-rue-crescent/19570145/mls10531802/,"
    
        
            
                "
106-2321 Av. Des Érables ,"
                                                ",https://www.royallepage.ca/en/property/quebec/montreal-ville-marie/106-2321-av-des-erables/19568061/mls23605994/,"
    
        
            
                "
3482 Rue St-Dominique ,"
                                                ",https://www.royallepage.ca/en/property/quebec/montreal-le-plateau-mont-royal/3482-rue-st-dominique/19568882/mls25090954/,"
    
        
            
                "
4-1894 Av. Valois ,"
                                                ",https://www.royallepage.ca/en/property/quebec/montreal-mercierhochelaga-maisonneuve/4-1894-av-valois/19571368/mls10605360/,"
    
        
            
                "
105-7805 Rue Sherbrooke E. ,"
                                                ",https://www.royallepage.ca/en/property/quebec/montreal-mercierhochelaga-maisonneuve/105-7805-rue-sherbrooke-e/19567469/mls27230028/,"
    
        
            
                "
001-5420 Rue Rivard ,"
                                                ",https://www.royallepage.ca/en/property/quebec/montreal-le-plateau-mont-royal/001-5420-rue-rivard/19570157/mls22136540/,"
    
        
            
                "
103-2730 Av. Georges-V ,"
                                                ",https://www.royallepage.ca/en/property/quebec/montreal-est/103-2730-av-georges-v/19568059/mls15824761/,"
    
        
            
                "
6234 Boul. Monk ,"
                                                ",https://www.royallepage.ca/en/property/quebec/montreal-le-sud-ouest/6234-boul-monk/19568730/mls23488830/,"
    
        
            
                "
186 Rue Des Passereaux ,"
                                                ",https://www.royallepage.ca/en/property/quebec/montreal-verdunile-des-soeurs/186-rue-des-passereaux/19563729/mls28616214/,"
    
        
            
                "
7600  - 7606 Av. Des Érables ,"
                                                ",https://www.royallepage.ca/en/property/quebec/montreal-villeraysaint-michelparc-extension/7600-7606-av-des-erables/19563081/mls13604034/,"
    
        
            
                "
3385  - 3391 Rue De Rouen ,"
                                                ",https://www.royallepage.ca/en/property/quebec/montreal-mercierhochelaga-maisonneuve/3385-3391-rue-de-rouen/19563084/mls19692733/,"
    
        
            
                "
4302  - 4306 Rue Drolet ,"
                                                ",https://www.royallepage.ca/en/property/quebec/montreal-le-plateau-mont-royal/4302-4306-rue-drolet/19567029/mls13123624/,"
    
        
            
                "
4085  - 4087 Av. Northcliffe ,"
                                                ",https://www.royallepage.ca/en/property/quebec/montreal-cote-des-neigesnotre-dame-de-grace/4085-4087-av-northcliffe/19560874/mls15650976/,"
    
        
            
                "
7131  - 7133 Rue Jean-Milot ,"
                                                ",https://www.royallepage.ca/en/property/quebec/montreal-mercierhochelaga-maisonneuve/7131-7133-rue-jean-milot/19565204/mls27306800/,"
    
        
            
                "
3790z Ch. De La Côte-Des-Neiges ,"
                                                ",https://www.royallepage.ca/en/property/quebec/montreal-ville-marie/3790z-ch-de-la-cote-des-neiges/19560878/mls14604987/,"
    
        
            
                "
