address1,address2,link,price
101 Rue Peel #1454,"Le Sud-Ouest (Montréal), QC",/ListingDetails/101-Rue-Peel-1454-Montréal-(Le-Sud-Ouest)-QC-H3C0Y1/28352244,"$379,000"
5225 Boul. Décarie #103,"Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), QC",/ListingDetails/5225-Boul-Décarie-103-Montréal-(Côte-des-Neiges-Notre-Dame-de-Grâce)-QC-H3W3C2/19702654,"$403,600"
789 Av. Querbes #201,"Outremont (Montréal), QC",/ListingDetails/789-Av-Querbes-201-Montréal-(Outremont)-QC-H2V3X3/9508956,"$660,000"
Rg St-Vincent,"Sainte-Béatrix, QC",/ListingDetails/Rg-St-Vincent-Sainte-Béatrix-QC-J0K1Y0/28071152,"$245,000"
71 Rue Duke #310,"Ville-Marie (Montréal), QC",/ListingDetails/71-Rue-Duke-310-Montréal-(Ville-Marie)-QC-H3C0L5/22263741,"$299,000"
5720 Boul. Cavendish #1908,"Côte-Saint-Luc, QC",/ListingDetails/5720-Boul-Cavendish-1908-Côte-Saint-Luc-QC-H4W1S9/11052240,"$319,000"
Ch. des Hauteurs,"Saint-Hippolyte, QC",/ListingDetails/Ch-des-Hauteurs-Saint-Hippolyte-QC-J8A0A5/13906245,"$99,500"
1811 Rue William #512,"Montréal (Le Sud-Ouest), QC",/ListingDetails/1811-Rue-William-512-Montréal-(Le-Sud-Ouest)-QC-H3J0A7/24079758,"$479,900"
1135 Rue du Square-Amherst #001,"Montréal (Ville-Marie), QC",/ListingDetails/1135-Rue-du-Square-Amherst-001-Montréal-(Ville-Marie)-QC-H2L1N1/21846431,"$274,401"
Rue des Chênes,"Saint-Hippolyte, QC",/ListingDetails/Rue-des-Chênes-Saint-Hippolyte-QC-J8A0C3/19908037,"$90,000"
1434 Rue De Bleury #1709,"Ville-Marie (Montréal), QC",/ListingDetails/1434-Rue-De-Bleury-1709-Montréal-(Ville-Marie)-QC-H3A2J1/20363410,"$442,070"
750 Côte de la Place-d'Armes #43,"Ville-Marie (Montréal), QC",/ListingDetails/750-Côte-de-la-Place-d'Armes-43-Montréal-(Ville-Marie)-QC-H2Y2X8/17454184,"$7,300"
221 Rue William,"Saint-Charles-sur-Richelieu, QC",/ListingDetails/221-Rue-William-Rosemère-QC-J7A2R3/16221693,"$349,900"
2064 Rue Tupper,"Montréal (Ville-Marie), QC",/ListingDetails/2064-Rue-Tupper-Montréal-(Ville-Marie)-QC-H3H1N8/11807230,"$5,950"
5869 8e Avenue,"Montréal (Rosemont/La Petite-Patrie), QC",/ListingDetails/5869-8e-Avenue-Montréal-(Rosemont-La-Petite-Patrie)-QC-H1Y2L9/18181651,"$565,000"
2363 Rue Jean-Langlois #302,"Ville-Marie (Montréal), QC",/ListingDetails/2363-Rue-Jean-Langlois-302-Montréal-(Ville-Marie)-QC-H2K2L6/12627102,"$3,650"
5751 Rue Plantagenet,"Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), QC",/ListingDetails/5751-Rue-Plantagenet-Montréal-(Côte-des-Neiges-Notre-Dame-de-Grâce)-QC-H3S2K4/23557716,"$4,600"
Rue des Huards,"Saint-Damien, QC",/ListingDetails/Rue-des-Huards-Saint-Damien-QC-J0K2S0/14454372,"$149,999"
157 Rue Ste-Catherine,"LONGUEUIL (LE VIEUX-LONGUEUIL), QC",/ListingDetails/157-Rue-Ste-Catherine-Longueuil-(Le-Vieux-Longueuil)-QC-J4H2B4/14129025,"$198,000"
2 Rue Westmount-Square #607,Nouveau,/ListingDetails/2-Rue-Westmount-Square-607-Westmount-QC-H3Z2A4/19754138,"$2,750"
Rue de Rawdon Park,"Westmount, QC",/ListingDetails/Rue-de-Rawdon-Park-Rawdon-QC-J0K1S0/11518398,"$39,000"
184 Ch. de Bury,"PIOPOLIS, QC",/ListingDetails/184-Ch-de-Bury-Piopolis-QC-G0Y1H0/14348075,"$9,500"
42 Av. Ste-Hélène #2,Nouveau,/ListingDetails/42-Av-Ste-Hélène-2-Saint-Lambert-QC-J4R1S2/9257934,"$2,550"
37 Ch. de Matapédia,"Bromont, QC",/ListingDetails/37-Ch-de-Matapédia-Bromont-QC-J2L3B4/27011428,"$3,000"
250 Boul. Hymus #415,"POINTE-CLAIRE, QC",/ListingDetails/250-Boul-Hymus-415-Pointe-Claire-QC-H1H1H1/18310934,"$2,185"
250 Boul. Hymus #205,"POINTE-CLAIRE, QC",/ListingDetails/250-Boul-Hymus-205-Pointe-Claire-QC-H1H1H1/10732178,"$2,250"
